gram,counts
covid 19,1857560
coronavirus outbreak,622093
coronavirus covid19,544463
coronavirus pandemic,498732
covid19 coronavirus,399923
coronavirus cases,396574
via youtube,351649
new york,285909
19 pandemic,279148
due coronavirus,276698
death toll,269451
novel coronavirus,262980
amid coronavirus,254094
new coronavirus,251450
stay home,242335
coronavirus crisis,238964
coronavirus covid,236898
social distancing,212402
china coronavirus,208977
new cases,207221
coronavirus via,202874
coronavirus china,189845
corona virus,182734
il coronavirus,178997
positive coronavirus,176192
du coronavirus,168478
coronavirus death,166941
coronavirus lockdown,166935
spread coronavirus,166614
confirmed cases,165909
19 cases,164454
news coronavirus,164216
bbc news,162882
href rel,158296
rel nofollow,158293
casos coronavirus,158189
wuhan coronavirus,158061
tested positive,155548
true href,155085
fight coronavirus,152805
public health,146139
gon na,143488
cruise ship,139178
cases coronavirus,136678
nofollow twitter,134630
covid19 pandemic,132811
donald trump,132735
south korea,129406
stay safe,128309
wuhan china,127702
coronavirus patients,126777
coronavirus deaths,125479
19 crisis,125042
white house,123702
coronavirus fears,122232
hong kong,121183
live updates,117268
coronavirus response,116567
united states,116261
due covid,109080
fake news,107812
gt gt,105678
caso coronavirus,103803
president trump,103078
crisis coronavirus,100646
coronavirus live,99542
coronavirus spread,98020
year old,97463
coronavirus wuhan,96606
pandemia coronavirus,96330
19 patients,95976
boris johnson,95778
tests positive,95585
coronavirus update,94740
coronavirus vaccine,94201
health care,93363
task force,92574
get coronavirus,92353
coronavirus covid_19,92313
casos confirmados,91344
19 outbreak,90592
trump coronavirus,88965
twitter web,88327
many people,87406
fight covid19,86073
nuevo coronavirus,83997
covid_19 coronavirus,83533
2019 ncov,83522
19 coronavirus,83421
sign petition,83380
world health,83272
test positive,82892
case coronavirus,82877
coronavirus vía,82630
around world,82244
coronavirus case,81432
nuevos casos,80529
fight covid,79359
19 via,78382
coronavirus could,78352
bill gates,77974
fox news,77734
positive covid,77169
covidー19 coronavirus,76404
looks like,76280
web app,76067
virus coronavirus,74079
covid19 cases,73593
due covid19,73510
wuhan virus,73140
response coronavirus,73077
social media,72016
coronavirus testing,70824
amid covid,70583
york times,70439
infected coronavirus,70007
coronavirus covidー19,69814
good news,69584
first coronavirus,69554
us coronavirus,68487
petition via,68466
coronavirus coronavirus,67996
100 000,67832
people died,67350
coronavirus spreads,66714
primer caso,66230
coronavirus quarantine,65499
qu il,64161
coronavirus il,63887
coronavirus coronavirusoutbreak,63882
19 deaths,63228
prime minister,63134
face masks,62825
health organization,62210
est pas,62201
death rate,61673
wash hands,61673
10 000,61357
spread covid19,61051
muertos coronavirus,60495
casos covid,60024
000 people,59997
19 lockdown,59941
health officials,59541
coronavirus test,59462
help us,59235
says coronavirus,58647
diamond princess,58267
died coronavirus,58244
coronavirus 2019,58188
coronavirus disease,58072
24 hours,57677
covid19 crisis,57341
sars cov,57226
mental health,57107
trump administration,56572
save lives,56459
het coronavirus,56184
19 virus,56157
coronavirus us,55984
coronavirus sars,55906
coronavirus epidemic,55841
health emergency,55661
coronavirus relief,55637
healthcare workers,55564
last week,55382
like coronavirus,54761
daily thanks,54694
april 2020,54642
covid19 covid_19,54534
every day,54527
first case,54201
need know,54142
make sure,54048
outside china,54030
per il,53713
spread covid,53384
coronavirus task,52646
coronavirus news,52512
cases covid,52403
cure coronavirus,52353
new deaths,52149
at home,51950
19 di,51738
au coronavirus,51728
stop spread,51357
coronavirus si,51296
two weeks,50969
coronavirus italia,50446
first time,49945
trump says,49892
wan na,49771
die coronavirus,49602
coronavirus new,49329
coronavirus may,49176
19 response,48923
24 horas,48772
people dying,48560
coronavirus trump,48338
go back,48172
impact coronavirus,48037
coronavirus covid2019,48003
covid_19 covid19,47915
million people,47891
coronavirus concerns,47552
take care,47512
coronavirus corona,47340
coronavirus infection,47302
corona coronavirus,47177
dies coronavirus,47126
people die,47050
si coronavirus,46535
new covid,46367
positive cases,46222
19 testing,46167
coronavirus hit,46137
covid19 lockdown,45950
brote coronavirus,45902
total number,45896
pandemi covid,45714
breaking news,45709
confirmed coronavirus,45642
penyebaran covid,45626
people coronavirus,45373
cases covid19,45324
virus corona,45251
di coronavirus,45104
test kits,44969
dr fauci,44687
coronavirus impact,44499
du covid,44467
coronavirus infections,44394
virus covid,44198
coronavirus argentina,43978
health minister,43879
via mailonline,43773
coronavirus virus,43668
โคว ด19,43624
coronavirus symptoms,43501
coronavirus patient,43394
stock market,43374
coronavirus españa,43321
washington post,43158
positivo coronavirus,43088
coronavirus spreading,43026
god bless,43022
china wuhan,42982
would like,42769
19 death,42674
global pandemic,42599
weeks ago,42597
small businesses,42464
please help,42381
face mask,42246
back work,42108
coronavirus updates,42095
deadly coronavirus,41983
muertes coronavirus,41914
press conference,41913
loved ones,41902
ee uu,41786
response covid,41779
casos positivos,41774
health workers,41703
know coronavirus,41498
du covid19,41421
new post,41338
contre coronavirus,41291
covid19 covidー19,41158
one day,41153
via gatewaypundit,41073
front line,41006
pandemia covid,40828
coronavirus est,40807
04 2020,40750
coronavirus uk,40738
stay at,40616
look like,40541
see details,40536
long term,40408
corona covid19,40164
coronavirus amp,40147
tiempos coronavirus,39995
cuarentena coronavirus,39879
got coronavirus,39815
time coronavirus,39719
14 days,39709
mortality rate,39679
il est,39544
toll rises,39519
let us,39478
coronavirus tests,39334
stop coronavirus,39242
da coronavirus,39166
gt virus,39077
staying home,38736
20 000,38726
covid19 patients,38563
covidー19 covid19,38492
covid covid19,38490
sars flu,38455
care workers,38237
cases reported,38192
twitter android,38096
number cases,38036
total cases,38002
well done,37740
coronavirus stimulus,37732
19 test,37701
cases confirmed,37621
pandemia covid19,37533
details gt,37369
di wuhan,37341
prevent spread,37154
world news,37059
19 relief,36999
doctors nurses,36960
immune system,36813
covid19 outbreak,36794
19 update,36784
herd immunity,36751
york city,36705
fighting coronavirus,36424
real time,36400
post coronavirus,36333
small business,36325
deliver copy,36325
last delivered,36322
join us,36125
coronavirus related,36007
zero hedge,35990
das coronavirus,35820
toilet paper,35798
officials last,35740
copy officials,35633
causa coronavirus,35583
china trump,35569
contact tracing,35505
new zealand,35430
federal government,35391
american people,35360
vía youtube,35359
climate change,35357
medical supplies,35243
chinese virus,35239
contagio coronavirus,35148
covid19 stayhome,35118
terdampak covid,35094
com coronavirus,35014
50 000,34770
coronavirus confirmed,34745
the coronavirus,34419
il faut,34351
got ta,34302
global health,34267
via breitbartnews,34215
feel like,34209
global coronavirus,34111
