gram,counts
covid 19 pandemic,278250
coronavirus covid 19,203431
covid 19 cases,162968
href rel nofollow,158293
true href rel,155084
rel nofollow twitter,134630
covid 19 crisis,124803
due covid 19,106364
bbc news coronavirus,97363
coronavirus death toll,96776
covid 19 patients,95426
covid 19 outbreak,90369
nofollow twitter web,88223
covid 19 coronavirus,80225
covid 19 via,77853
fight covid 19,75973
twitter web app,75441
positive covid 19,75079
coronavirus live updates,71938
new york times,70262
amid covid 19,70132
sign petition via,67419
amid coronavirus outbreak,62842
covid 19 deaths,61217
new coronavirus cases,61074
world health organization,59779
covid 19 lockdown,59710
tested positive coronavirus,59524
casos covid 19,58834
covid 19 virus,55442
tests positive coronavirus,54744
coronavirus task force,51742
spread covid 19,51715
covid 19 di,51609
cases covid 19,51133
covid 19 response,48779
coronavirus 2019 ncov,48774
amid coronavirus pandemic,47133
covid 19 testing,45971
new covid 19,45365
pandemi covid 19,44862
covid 19 death,42270
du covid 19,42254
virus covid 19,41710
penyebaran covid 19,41612
response covid 19,40714
stay at home,40314
pandemia covid 19,39427
primer caso coronavirus,39170
gt virus coronavirus,38713
coronavirus sars flu,38163
virus coronavirus sars,38159
nofollow twitter android,38041
gt gt gt,38033
covid 19 test,37402
new cases coronavirus,37235
see details gt,36963
details gt virus,36944
covid 19 relief,36915
covid 19 update,36417
new york city,36350
death toll rises,35833
test positive coronavirus,35687
deliver copy officials,35632
officials last delivered,35630
copy officials last,35630
terdampak covid 19,34856
covid 19 vaccine,33893
sars flu china,32090
coronavirus via youtube,31404
da covid 19,31366
health care workers,30268
due coronavirus outbreak,30242
impact covid 19,30058
petition via change,28856
nuevos casos coronavirus,27964
flu china trump,27676
pasien covid 19,27546
covid 19 vía,27099
died covid 19,27036
últimas 24 horas,26731
public health emergency,26653
tested positive covid,26499
confirmed coronavirus cases,25890
memerangi covid 19,25814
covid 19 situation,25443
per il coronavirus,24789
2019 novel coronavirus,24786
amid coronavirus crisis,24573
crisis covid 19,24434
yang terdampak covid,24255
confirmed cases coronavirus,23503
petition via ukchange,23070
first case coronavirus,22658
stay home stay,22498
covid 19 tests,22408
confirmed covid 19,22376
president donald trump,22264
covid 19 patient,22122
covid 19 yang,22020
coronavirus disease 2019,21931
covid 19 case,21859
bakti sosial untuk,21685
novel coronavirus 2019,21663
masyarakat yang terdampak,21480
positif covid 19,21365
usps deliver copy,21136
support usps deliver,21113
signing support usps,21112
covid 19 amp,20936
covid 19 positive,20802
covid 19 spread,20280
global health emergency,19966
amid coronavirus fears,19965
covid 19 related,19921
mobile world congress,19684
get covid 19,19616
due coronavirus pandemic,19611
wabah covid 19,19582
covid 19 ini,19564
china coronavirus outbreak,19194
coronavirus outbreak china,18939
home stay safe,18860
stop spread coronavirus,18635
fighting covid 19,18569
covid 19 dan,18455
at home order,18447
2019 covid 19,18434
covid 19 symptoms,18416
first coronavirus death,18114
last 24 hours,18111
first coronavirus case,18111
jenazah pasien covid,18093
coronavirus outbreak via,18047
casos confirmados coronavirus,18008
coronavirus pandemic via,17840
cause du coronavirus,17750
rantai covid 19,17667
epoch times app,17662
untuk ringankan beban,17625
sosial untuk ringankan,17610
com covid 19,17400
ringankan beban masyarakat,17387
penanganan covid 19,17316
number coronavirus cases,17233
gelar bakti sosial,17122
beban masyarakat yang,17098
covid 19 treatment,17091
white house coronavirus,16944
dies covid 19,16941
covid_19 prior jorge,16886
cdtv covid_19 prior,16886
crise du coronavirus,16876
number covid 19,16868
tests positive covid,16654
covid 19 em,16640
positivo covid 19,16588
prior jorge babu,16522
jorge babu manu,16520
coronavirus new york,16386
post covid 19,16373
covid 19 sign,16362
tested positive covid19,16356
covid cdtv covid_19,16296
time covid 19,16182
deaths covid 19,16165
polri gelar bakti,16158
babu manu foraprior,16090
au covid 19,16088
pacientes covid 19,16067
