nation,frequency
USA,441710
GBR,114841
IND,90313
ESP,58318
BRA,57868
CAN,40324
MEX,37897
IDN,37290
ARG,35496
NGA,34068
FRA,33556
COL,24812
PHL,22830
ITA,21755
ZAF,19550
AUS,19059
CHL,17644
MYS,16963
TUR,15572
IRL,11419
DEU,11243
ECU,10260
PAK,9194
PER,8594
KEN,8454
VEN,8257
NLD,7632
JPN,7357
PRY,6218
THA,6092
GHA,5636
DOM,5574
BEL,4982
URY,4876
PAN,4791
UGA,3984
ARE,3883
SAU,3302
SLV,3248
NZL,3208
CHE,3105
CHN,2723
PRT,2681
GTM,2580
LKA,2284
SWE,2283
SGP,2275
JAM,1939
HND,1895
POL,1840
RUS,1797
CRI,1708
COD,1554
AUT,1524
TZA,1466
DNK,1341
MDV,1313
BOL,1228
SEN,1199
NPL,1190
HKG,1179
ISR,1169
BWA,1118
FIN,1117
CMR,1068
KOR,1068
ZWE,1032
EGY,983
RWA,972
NOR,945
QAT,929
NIC,901
GRC,896
BGD,860
TWN,855
CIV,830
ZMB,824
SOM,798
KWT,790
LBN,781
SRB,771
CZE,740
FJI,738
TTO,670
HTI,626
VNM,620
OMN,591
CYP,570
UKR,550
ETH,547
CUB,543
MAR,451
IRQ,447
,446
MWI,429
DZA,410
IRN,400
MTQ,365
BHR,362
GIN,362
ROU,330
BHS,325
LVA,319
TUN,316
BRB,298
HUN,297
,292
SVN,286
JOR,283
MLI,272
HRV,266
AGO,256
LUX,249
AFG,246
MNG,241
AND,236
SLE,234
GLP,231
BEN,219
MOZ,206
GMB,197
IMN,197
LSO,191
TGO,184
YEM,179
BIH,176
MLT,174
LBY,171
GAB,166
ALB,163
SWZ,162
AZE,159
GEO,158
KHM,158
BLR,157
BMU,154
REU,153
COG,148
BRN,147
PNG,147
ISL,144
MMR,143
DJI,141
BGR,137
MNE,137
MUS,135
KAZ,134
NER,127
ATG,116
GIB,112
SVK,110
GUM,106
ARM,104
KGZ,102
GUF,98
LCA,96
TCD,93
EST,92
BFA,89
CYM,89
MKD,81
LTU,78
LBR,76
PRI,74
LAO,70
MCO,68
MDG,67
BDI,63
BTN,59
VIR,53
MAC,49
GRD,48
LIE,47
NCL,47
CAF,46
VAT,44
SYR,43
VCT,43
BLZ,41
MRT,41
PYF,36
VGB,34
UZB,33
TLS,32
ABW,29
SLB,27
TCA,27
VUT,27
GUY,24
MNP,24
CPV,23
KNA,23
MSR,22
ASM,21
DMA,20
SYC,20
MYT,20
GNQ,19
,18
SUR,18
WSM,17
MDA,16
GNB,15
COM,15
BLM,14
TON,14
,13
UMI,11
MAF,10
TKM,10
SMR,9
,9
AIA,8
GRL,8
JEY,8
ATA,6
FLK,6
FRO,6
PRK,6
PLW,6
SDN,5
FSM,4
GGY,4
ALA,3
COK,3
,3
SPM,3
TJK,3
ERI,2
,1
,1
MHL,1
NIU,1
,1
,1
