date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
06/02/2020,382,119,981,188,8913,494,464,59,3810,1434,312,107,1419,424,160,162,256,495,128,812,1071,959,575,88,408,62,201,596,114,999,205,5393,772,25,1132,236,631,1721,80,420,60,734,3856,237,50,1017,879,149,667,27,44483
07/02/2020,702,224,1772,380,14130,896,705,106,6471,2589,593,206,2630,721,275,224,439,922,285,1629,1744,1681,1091,183,686,114,447,1033,179,2146,282,9336,1329,42,2008,474,1045,2705,160,782,134,1195,6975,445,81,1906,1341,251,904,44,76642
08/02/2020,717,248,1674,335,13303,843,665,126,6467,2349,555,224,2222,747,279,286,491,796,253,1335,1708,1661,982,161,653,130,299,1022,252,1856,327,7708,1301,84,1894,615,966,2546,125,671,127,1194,6472,428,76,1668,1167,274,845,55,71182
09/02/2020,886,320,2504,511,18202,1191,820,147,8908,3089,814,317,2831,1012,329,394,546,1001,271,1602,2307,2299,1425,200,1062,202,306,1471,284,2605,410,10951,2012,71,2599,693,1513,3342,195,1096,238,1698,8310,612,153,2318,1766,368,1306,81,97588
11/02/2020,292,101,738,147,5336,405,292,38,2510,1265,224,100,893,271,100,133,155,306,84,459,721,625,441,68,290,65,96,401,90,676,138,3427,525,26,808,276,452,1116,55,269,59,529,2456,162,41,870,465,93,295,13,29397
12/02/2020,920,386,2438,548,18381,1420,997,192,9565,4453,590,343,3408,1083,391,425,674,1133,378,2001,2651,2388,1776,188,1051,219,405,1546,303,2465,433,14788,1930,107,2682,747,1542,4173,193,1127,318,1914,8266,558,130,2698,1738,354,1199,73,107688
13/02/2020,653,187,1671,353,13085,969,782,114,6511,2754,506,296,2299,761,266,276,452,712,288,1233,1920,1584,1118,150,798,168,268,1185,279,1687,344,8984,1199,55,1872,434,1117,3171,138,645,150,1433,7653,555,87,1824,1273,223,791,38,75311
14/02/2020,718,267,2002,374,15387,1109,875,88,7644,3114,1042,344,2856,870,329,374,519,741,233,1566,2707,2088,1316,167,866,275,376,1181,287,2039,346,11321,1343,61,2415,406,1140,3443,153,752,99,1483,8023,615,106,2092,1597,331,868,76,88424
15/02/2020,361,128,882,202,7605,525,412,56,3555,1478,598,175,1035,395,123,162,202,333,106,659,1053,811,717,58,361,99,141,612,106,954,217,4821,727,27,1001,251,590,1642,67,332,82,666,3556,324,62,989,678,121,391,15,40463
16/02/2020,400,157,1132,393,8191,554,463,79,4409,1710,389,164,1286,452,131,132,249,551,141,813,1080,1064,727,99,443,117,134,678,189,981,176,5215,961,34,1243,276,724,2097,88,503,105,968,3684,256,97,1082,843,152,463,24,46299
17/02/2020,441,133,1231,298,9345,702,555,67,4889,2001,458,201,1549,570,155,206,360,540,169,770,1233,1163,760,103,531,112,242,854,214,1142,227,6614,901,28,1480,334,856,2300,98,504,127,997,4492,317,82,1298,889,216,595,26,53375
18/02/2020,704,259,2312,454,15959,1184,796,129,8062,3306,705,296,2689,940,326,351,551,1138,229,1472,1986,2047,1231,231,914,174,293,1292,334,2227,352,10245,1561,95,2325,568,1311,3422,171,976,174,1715,8403,369,114,2154,1407,372,932,48,89305
19/02/2020,411,165,1049,265,8544,572,472,70,4175,1924,302,166,1443,502,164,195,340,608,150,942,1097,1081,738,125,492,81,203,772,173,1199,211,5719,822,35,1237,263,650,1989,81,485,253,891,4570,229,83,1293,893,155,504,25,48808
20/02/2020,461,204,1359,310,10773,781,646,95,5349,2500,520,201,1940,704,121,219,335,581,185,1121,1458,1467,921,122,488,108,263,951,243,1450,337,7340,961,48,1466,361,1022,2294,98,668,206,1083,5710,358,91,1781,1515,158,543,45,61961
21/02/2020,584,201,1575,262,12200,1047,705,64,6155,2753,471,230,2241,821,205,248,413,600,231,1231,1711,1759,1089,123,646,151,270,962,226,1723,308,8963,1190,53,1791,373,1081,2702,139,649,143,1164,6124,413,151,1845,1526,249,788,26,70575
22/02/2020,795,154,1402,247,10116,804,552,42,4942,2100,461,191,1642,614,144,202,364,448,164,819,1118,1262,882,126,500,153,179,951,231,1273,274,6231,939,41,1280,365,767,1874,122,549,217,958,4467,255,118,1396,1018,163,533,25,54470
23/02/2020,1129,249,2062,405,12899,1116,764,91,6996,2797,538,324,2163,844,204,341,460,691,217,1231,1566,1799,1313,136,739,164,239,1023,277,1691,379,8497,1413,39,1899,362,1234,2634,171,809,116,1368,5494,367,106,2154,1447,252,824,77,74110
24/02/2020,1653,367,3700,635,25675,2294,1417,232,12746,4801,784,433,4995,1715,530,667,982,1552,485,2399,3248,3687,2439,280,1630,294,546,1957,529,3458,653,16066,2585,101,4040,960,2814,5110,293,1698,347,2645,10234,770,224,3934,2627,502,1816,99,143648
25/02/2020,2267,576,5847,1135,35947,3733,2320,390,20273,7220,1081,769,7561,2526,957,1158,1454,2396,710,4107,4963,5856,3677,543,2608,469,761,3012,885,5542,1038,22891,4118,154,6857,1453,4512,8620,473,2768,306,4401,15265,1033,291,6116,4062,773,2864,179,218917
26/02/2020,3679,1059,9918,2092,63396,6065,4177,682,35073,11737,1825,1158,12956,4749,1645,1860,2343,4222,1245,7258,8115,9992,6057,948,4302,718,1346,5030,1555,9170,2020,38635,6974,260,11428,2465,7727,14486,783,4546,478,7677,26199,1603,622,9841,6791,1473,5027,282,373689
27/02/2020,3417,915,10643,1789,67297,6127,3900,582,33154,11556,1753,1263,12501,4658,1635,2070,2534,4187,1213,6550,7925,9944,6177,951,4254,801,1182,5317,1472,8790,1780,34929,6943,240,11761,2504,8080,14442,866,4374,350,7648,27072,1853,655,9930,7451,1457,4786,245,371923
28/02/2020,3178,1088,10496,1733,67359,5718,3881,579,32244,11421,1800,1367,12456,4179,1509,2043,2380,4090,1378,6831,7992,9662,6137,911,4386,700,1134,5398,1422,8974,1746,34109,7195,218,11342,2202,9036,14953,848,4516,381,7567,27933,1881,641,10143,7855,1454,4768,251,371485
01/03/2020,2969,942,9132,1566,56139,4889,3253,549,31793,10839,1538,1202,10342,3444,1205,1543,2023,4027,935,5702,6902,8046,5252,783,3909,561,1094,4805,1240,8261,1454,33821,6137,192,9480,2054,7227,12560,1184,4211,337,6460,28823,1655,468,8366,8000,1325,4014,208,332861
02/03/2020,352,211,1143,190,10447,518,355,67,3498,1295,354,259,1305,394,115,174,225,495,123,645,707,767,587,83,407,83,100,786,120,948,217,5058,525,10,828,229,1157,1131,73,332,28,597,3896,216,22,932,1466,152,389,37,44048
